time,time,time,time,q,p1,p2,p3
1589451146.95823,0.0,0.0,0.0,0.9986572265625,0.018310546875,0.01214599609375,0.04754638671875
1589451146.96823,0.0,0.0,0.0,0.9986572265625,0.018386178828475257,0.012070364140274745,0.04750259632707423
1589451146.97823,0.0,0.0,0.0,0.9986572265625,0.0184326171875,0.01202392578125,0.0472750052028007
1589451146.98823,0.0,0.0,0.0,0.9986572265625,0.0184326171875,0.01202392578125,0.04685663658724363
1589451146.99823,0.0,0.0,0.0,0.9987070529346912,0.0184326171875,0.01202392578125,0.046216048377455944
1589451147.00823,0.0,0.0,0.0,0.99871826171875,0.0184326171875,0.01202392578125,0.04568938918999134
1589451147.01823,0.0,0.0,0.0,0.9987774861120322,0.018551065974064307,0.012142374567814307,0.04481972308014631
1589451147.02823,0.0,0.0,0.0,0.998779296875,0.01876039761852144,0.01221833357488572,0.04418267433193568
1589451147.03823,0.0,0.0,0.0,0.998779296875,0.01883834769871247,0.012257308614981236,0.04394882409136259
1589451147.04823,0.0,0.0,0.0,0.9988199494940407,0.01885986328125,0.012349371644331529,0.043315140677179294
1589451147.05823,0.0,0.0,0.0,0.99884033203125,0.018803597977289487,0.012558932630631533,0.042467132116644886
1589451147.06823,0.0,0.0,0.0,0.99884033203125,0.018798828125,0.0126763481535119,0.0419039037636905
1589451147.07823,0.0,0.0,0.0,0.998911126796581,0.018747552577831034,0.0128466616397431,0.040830192427460374
1589451147.08823,0.0,0.0,0.0,0.9989537493792222,0.0187901751604722,0.012974529387666599,0.04002036335727821
1589451147.09823,0.0,0.0,0.0,0.9990305694501957,0.01888125913183726,0.01320498960058726,0.0374883517607241
1589451147.1082299,0.0,0.0,0.0,0.9991049024163569,0.019083828270213755,0.013407558738963755,0.03480843583004182
1589451147.1182299,0.0,0.0,0.0,0.9992159432162876,0.019324710365150398,0.013639040586362797,0.032094693223496035
1589451147.1282299,0.0,0.0,0.0,0.999263184359646,0.01951367493858415,0.01378076401643811,0.030205047489158518
1589451147.1382298,0.0,0.0,0.0,0.9993219042694563,0.019748554577825223,0.013902597601412612,0.02867114326359236
1589451147.1482298,0.0,0.0,0.0,0.99932861328125,0.020054226290202905,0.0140380859375,0.02813720703125
1589451147.1582298,0.0,0.0,0.0,0.9993160657689774,0.020252826767840397,0.0140506334497726,0.02813720703125
1589451147.1682298,0.0,0.0,0.0,0.999267578125,0.020468511721186078,0.014109988282468039,0.02812633984253196
1589451147.1782298,0.0,0.0,0.0,0.9992758511734824,0.020585393753214793,0.01416015625,0.028009987487140828
1589451147.1882298,0.0,0.0,0.0,0.9993210624402573,0.020675816286764542,0.01416015625,0.027648297352941827
1589451147.1982298,0.0,0.0,0.0,0.99932861328125,0.020818020783404445,0.01424489145976963,0.026994744156612592
1589451147.2082298,0.0,0.0,0.0,0.99932861328125,0.020997223323700052,0.014404296875,0.02575175285584976
1589451147.2182298,0.0,0.0,0.0,0.99932861328125,0.02109141360143631,0.014404296875,0.0253278966060366
