time,x,y,z,q,x,y,z
1592167929.139405,-0.05026412122641478,-0.014165970241729126,0.007605828940552793,0.5461432120925835,0.35854702950978906,-0.41548746976854123,-0.6328838711620212
1592167929.149405,-0.05026405932039065,-0.014166003418356282,0.007605828955769443,0.546206350912884,0.35844401147477556,-0.41528879588494116,-0.6330187775139715
1592167929.159405,-0.05026377008332623,-0.014166960675806086,0.007605829264662149,0.5462674571922074,0.3583401702047799,-0.4151275267110661,-0.6331299143844148
1592167929.169405,-0.05026377008332623,-0.014166960675806086,0.007605829264662149,0.5463058089730267,0.3582693876620883,-0.41500757868906163,-0.63321521345954
1592167929.179405,-0.05026348084626181,-0.014167917933255834,0.007605829573554855,0.5463212782760881,0.35821431418179733,-0.41495679892255505,-0.6332668456027136
1592167929.189405,-0.05026492834444354,-0.014169399625705128,0.007606829886937762,0.5462930877896334,0.3581725303637743,-0.41497384125346515,-0.6333036554448455
1592167929.199405,-0.050266011574875355,-0.014172639332991909,0.007607618920354121,0.546228778647301,0.35815863549818444,-0.4150167041817961,-0.633338246174534
1592167929.209405,-0.050268499501298546,-0.014177280783406151,0.007609588031625629,0.5461457062887776,0.35816251223796763,-0.41508473252138445,-0.6333633417847571
1592167929.219405,-0.05027229272411035,-0.014184357852377876,0.0076115637755327205,0.5460327341177409,0.35819798246675383,-0.415153823225755,-0.6333946815180024
1592167929.229405,-0.05027747296038214,-0.014193579247014348,0.0076152441052955416,0.5459151638955339,0.358258530264533,-0.41524109132603293,-0.6334054081415333
1592167929.239405,-0.05028183036961376,-0.014200655418218255,0.007616515729081202,0.5457854684539718,0.3583204438196724,-0.4153477852194204,-0.6334116439066835
1592167929.249405,-0.05028717938849992,-0.014209138269890549,0.007619143776986982,0.545617753812697,0.35839208090198066,-0.4155070300069069,-0.633411304045099
1592167929.259405,-0.050294316752399156,-0.014221894577155196,0.00762309488951313,0.5454007581823885,0.3584869259204973,-0.41570548582696476,-0.6334143740015589
1592167929.269405,-0.05030168846654926,-0.014237102412647482,0.007627041859861813,0.5451431478858708,0.3585892677053731,-0.41592730356203966,-0.633433170601194
1592167929.2794049,-0.05030706839824832,-0.014254794740848668,0.007630992563405533,0.544819737048287,0.3586606987302714,-0.4162035770318063,-0.633489384650178
1592167929.2894049,-0.050309791308961405,-0.01427265760322238,0.007634940398806845,0.5444248653349137,0.35863449152319676,-0.41651833004774796,-0.6336367321154757
1592167929.2994049,-0.050308958846527946,-0.01429406174954369,0.007638882719669179,0.5439680857595861,0.3584970145957494,-0.41684675401956606,-0.6338904781063759
1592167929.3094049,-0.050303824319166884,-0.014321358895851203,0.007642839209320408,0.5434892352852196,0.3582068472036384,-0.4172064761976793,-0.6342294115174157
1592167929.3194048,-0.05029192496171001,-0.014365781075398536,0.007648259169148803,0.5430908354562597,0.3577151877863205,-0.4175801877476349,-0.6346009957670427
1592167929.3294048,-0.050271884282537316,-0.014446868177804963,0.00765420687491849,0.5428268218283028,0.3572483707834736,-0.4179303579478475,-0.6348601556996784
1592167929.3394048,-0.0502385875717012,-0.014566306900958555,0.007664348229164624,0.5427136002665711,0.35689564025223186,-0.41819976881118454,-0.6349769973342893
1592167929.3494048,-0.05018975565584823,-0.01473949483855505,0.007676247666172311,0.5427616854660201,0.35668097180096986,-0.4184017652922342,-0.6349240722780575
1592167929.3594048,-0.050128748999014476,-0.014947987991160677,0.007686463256191273,0.5428875995387661,0.35657570185068144,-0.4185897652810496,-0.6347520592562801
1592167929.3694048,-0.050040439794629535,-0.015196005094204667,0.0076917970317619995,0.5429932931553086,0.35648366531710657,-0.41882527767130384,-0.6345571970783489
1592167929.3794048,-0.04989163964685274,-0.015522777325882477,0.00768980666576589,0.5430035107423785,0.35633094949060107,-0.4190865397670204,-0.6344625431586637
1592167929.3894048,-0.04968171172233043,-0.015882216158046233,0.007673613718602024,0.5429330243159017,0.3560098420262479,-0.4193264309533011,-0.6345447314559984
1592167929.3994048,-0.049402197114659215,-0.016275752820340248,0.0076398276980425405,0.5428864751295912,0.3555409072460035,-0.4191166028454545,-0.6349851536341062
1592167929.4094048,-0.04905324318330304,-0.016714435591629242,0.007585074158344159,0.5429572117721289,0.354968422387048,-0.4187780956709336,-0.6354680197359358
1592167929.4194047,-0.0486469064285456,-0.01721254488309739,0.0075083388335296436,0.5432522253628023,0.3543715394906344,-0.41829137676117817,-0.6358690536857252
1592167929.4294047,-0.04818779146526303,-0.017784982148786637,0.007413679704662792,0.5437805368805193,0.3538761217624586,-0.41758660937514375,-0.636156865955761
