time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1592167943.4893913,-0.10892668895260228,8.925521361328055,4.350633390909858,-0.4,-0.09,-0.31222222222222223,-0.007966188002708667,-0.008255872578945611,0.02827225484210878
1592167943.4993913,-0.18488101114541644,8.932722150834152,4.437303016533807,-0.4,-0.09,-0.31222222222222223,-0.006946543589242524,-0.008961659571641464,0.03670979008392849
1592167943.5093913,-0.28656306152871,8.927119648051038,4.457939810478726,-0.4,-0.09,-0.31222222222222223,0.001739751632150836,-0.02772613579232172,0.05379505594150455
1592167943.5193913,-0.17384734410505415,8.931247826560107,4.3099462745174995,-0.4,-0.07777777777777778,-0.3055555555555556,0.0034412538225864183,-0.03603425382258642,0.06968663462846343
1592167943.5293913,-0.049755023811245455,8.94994654685518,4.241051424256457,-0.4,-0.07777777777777778,-0.3055555555555556,-0.005376545988219349,-0.03959006556928291,0.07246117464018531
1592167943.5393913,-0.014975305173716454,8.946559467993323,4.2185423666706034,-0.4,-0.07777777777777778,-0.3055555555555556,-0.02033929914148228,-0.05063222366146545,0.05582252989815318
1592167943.5493913,-0.016648714922151597,8.936713643762154,4.212161352306659,-0.4,-0.07777777777777778,-0.3055555555555556,-0.03759575180977555,-0.057161999499932115,0.0038274438260716345
1592167943.5593913,-0.2085263682703569,8.952026507944698,4.209802132353503,-0.4,-0.07777777777777778,-0.3055555555555556,-0.05128437968482689,-0.0665286203151731,-0.0285492090781505
1592167943.5693913,-0.2986597168780574,8.890604505069737,4.3051981135279025,-0.4122222222222222,-0.08333333333333333,-0.31777777777777777,-0.05819280327957411,-0.05173567019537233,-0.0246682013744211
1592167943.5793912,-0.313302504942283,8.904807295447632,4.4780089715495475,-0.4122222222222222,-0.08333333333333333,-0.31777777777777777,-0.05478475374616025,-0.046871317359854156,-0.01320180166659778
1592167943.5893912,-0.3639858518321886,8.902364589148554,4.488230922786357,-0.4122222222222222,-0.08333333333333333,-0.31777777777777777,-0.050004427267967486,-0.040277538375584065,-0.01602666667715026
1592167943.5993912,-0.5047180202977437,8.898374353425575,4.502332869571421,-0.4122222222222222,-0.08333333333333333,-0.31777777777777777,-0.04131152461686338,-0.039871,-0.00976665733492476
1592167943.6093912,-0.5346287899128965,8.899953394510876,4.4691787268809735,-0.4122222222222222,-0.08333333333333333,-0.31777777777777777,-0.03487879441409962,-0.04691464592524574,-0.0023163013964750956
1592167943.6193912,-0.48134294903584124,8.87631457059249,4.386604333695601,-0.38666666666666666,-0.09,-0.30333333333333334,-0.03247050764858682,-0.08592380501866036,-0.007936543658910823
1592167943.6293912,-0.4010333763005305,8.919362320141742,4.150034286185367,-0.38666666666666666,-0.09,-0.30333333333333334,-0.043867376175034334,-0.12759346625063545,-0.02827519477307103
1592167943.6393912,-0.37874652145326276,8.906130210353119,4.0717438857097,-0.38666666666666666,-0.09,-0.30333333333333334,-0.06598197812190199,-0.1726835504648494,-0.044434624120192494
1592167943.6493912,-0.449351467143978,8.863985843601935,4.109064278151991,-0.38666666666666666,-0.09,-0.30333333333333334,-0.09357429787752461,-0.19354003137609094,-0.06653876147430922
1592167943.6593912,-0.5078350803570609,8.882390469754112,4.156916319665396,-0.38666666666666666,-0.09,-0.30333333333333334,-0.11540566640171325,-0.20918131664527598,-0.10639999152349462
1592167943.6693912,-0.4199995214043346,8.88391966227983,4.350660140888783,-0.39222222222222225,-0.09,-0.3088888888888889,-0.13160521059235983,-0.22232662167294753,-0.126587
1592167943.6793911,-0.42465584798946426,8.910789578244712,4.655408199411941,-0.39222222222222225,-0.09,-0.3088888888888889,-0.12516969915907286,-0.20199500865356565,-0.11434268639842478
1592167943.6893911,-0.48685019620540654,8.894495462901489,4.8418791047557255,-0.39222222222222225,-0.09,-0.3088888888888889,-0.09745521531739736,-0.16343263519941548,-0.0962539614986198
1592167943.6993911,-0.4689805730429957,8.881305131897571,4.8337591677614675,-0.39222222222222225,-0.09,-0.3088888888888889,-0.05938897681236497,-0.13661304597451537,-0.07239729741565468
1592167943.709391,-0.43867563122406655,8.870334048539895,4.6972895455332635,-0.39222222222222225,-0.09,-0.3088888888888889,-0.03347090751630483,-0.13147835304202804,-0.061425007039009404
1592167943.719391,-0.40206929434860794,8.864493693095998,4.584874917077089,-0.4115810594634124,-0.09,-0.3035114340996694,-0.018042027590595647,-0.148529,-0.05248875529276325
1592167943.729391,-0.363990306754012,8.889642497585736,4.568286168646841,-0.4122222222222222,-0.09,-0.30333333333333334,-0.0097187570579764,-0.15195461105834612,-0.034624961941469024
1592167943.739391,-0.30986121894574964,8.885935899819206,4.618221209030054,-0.4122222222222222,-0.09,-0.30333333333333334,-0.000186516618334822,-0.15281587769531235,-0.0136778328236998
1592167943.749391,-0.23426241186723723,8.869139995844447,4.767815645481498,-0.4122222222222222,-0.09,-0.30333333333333334,0.01871130168417271,-0.12137480585052819,-0.017778862303630537
1592167943.759391,-0.5363707634438026,8.845781676096667,4.639361502390159,-0.4122222222222222,-0.09,-0.30333333333333334,0.04080725031860542,-0.07317756557332744,-0.02350897855213358
1592167943.769391,-0.7173014348245546,8.813211099822006,4.924365985525033,-0.40444444444444444,-0.09777777777777778,-0.3322222222222222,0.06032893049261196,-0.03666006086316416,-0.012052408342484631
1592167943.779391,-0.4293908438176268,8.85861217371401,4.909986469782123,-0.40444444444444444,-0.09777777777777778,-0.3322222222222222,0.10195921588449275,-0.004499916789466896,-0.057431866505094825
1592167943.789391,-0.7482831402127241,8.917312088162234,4.335730913815328,-0.40444444444444444,-0.09777777777777778,-0.3322222222222222,0.11474085661507594,-0.008844856615075933,-0.00967887612855019
1592167943.799391,-0.5721664297099454,8.866986928470727,4.35802509816153,-0.40444444444444444,-0.09777777777777778,-0.3322222222222222,0.10510810729116064,-0.01876289270883936,0.005841815059831037
1592167943.809391,-0.4592289359265649,8.904251088608984,4.175654166662783,-0.40444444444444444,-0.09777777777777778,-0.3322222222222222,0.09458354112248617,-0.028817239003596787,-0.01778000610560785
1592167943.819391,-0.5161463435089546,8.934023343280606,3.9458139593668298,-0.38,-0.10444444444444445,-0.3233333333333333,0.06751908698731067,-0.022358089386289255,-0.014601453626483876
1592167943.829391,-0.4698069243058497,8.884362578968599,3.8522577448005793,-0.38,-0.10444444444444445,-0.3233333333333333,0.02323618159691071,-0.027371762932208298,0.007385238745507686
1592167943.839391,-0.34766868921025773,8.915620843956042,3.968568842353791,-0.38,-0.10444444444444445,-0.3233333333333333,-0.017565980276431796,-0.029043252975842482,0.0032990206038684836
1592167943.849391,-0.3475445761110241,8.925527692754164,4.001826988912468,-0.38,-0.10444444444444445,-0.3233333333333333,-0.05034079525730282,-0.029330756771962375,-0.0025798336579141946
1592167943.859391,-0.3716205723921029,8.91716100347553,4.024386054595738,-0.38,-0.10444444444444445,-0.3233333333333333,-0.08052041827566957,-0.03385347646650759,0.008746307650565548
1592167943.869391,-0.33619070384435196,8.895344557060351,4.070316838588668,-0.4024043561633923,-0.10953634357248815,-0.33759065089185575,-0.10820395519088254,-0.025834099148971962,0.01234001729946169
1592167943.879391,-0.26636121648663075,8.886451128205062,4.077629090436248,-0.40444444444444444,-0.11,-0.3388888888888889,-0.13758563817795005,-0.02225784112042824,0.0006794342360667491
